date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,received_by,time_of_sale,item_name_index,item_type_index,transaction_type_index,received_by_index,time_of_sale_index
4/22/2022,Aalopuri,Fastfood,20,11,84,Online,Mr.,Evening,3.0,0.0,1.0,0.0,3.0
11-04-2022,Frankie,Beverages,20,4,45,Cash,Mrs.,Midnight,4.0,1.0,0.0,1.0,0.0
6/18/2022,Sandwich,Fastfood,60,1,36,Online,Mrs.,Night,6.0,0.0,1.0,1.0,1.0
09-10-2022,Vadapav,Fastfood,25,7,213,Cash,Mr.,Midnight,5.0,0.0,0.0,0.0,0.0
05-04-2022,Sugarcane juice,Beverages,25,13,325,Cash,Mr.,Morning,1.0,1.0,0.0,0.0,4.0
5/22/2022,Cold coffee,Beverages,60,6,290,Online,Mr.,Evening,0.0,1.0,1.0,0.0,3.0
5/16/2022,Panipuri,Fastfood,50,9,196,Online,Mr.,Afternoon,2.0,0.0,1.0,0.0,2.0
12/30/2022,Sugarcane juice,Fastfood,50,3,113,Online,Mrs.,Evening,1.0,0.0,1.0,1.0,3.0
9/21/2022,Vadapav,Fastfood,20,4,59,Cash,Mr.,Evening,5.0,0.0,0.0,0.0,3.0
08-05-2022,Cold coffee,Beverages,60,9,557,Cash,Mr.,Night,0.0,1.0,0.0,0.0,1.0
12/26/2022,Vadapav,Fastfood,20,4,150,Online,Mrs.,Night,5.0,0.0,1.0,1.0,1.0
6/17/2022,Aalopuri,Beverages,20,8,104,Online,Mrs.,Evening,3.0,1.0,1.0,1.0,3.0
08-03-2022,Sandwich,Beverages,25,14,449,Cash,Mr.,Evening,6.0,1.0,0.0,0.0,3.0
8/15/2022,Cold coffee,Beverages,40,2,72,Cash,Mrs.,Midnight,0.0,1.0,0.0,1.0,0.0
8/31/2022,Vadapav,Fastfood,20,3,48,Cash,Mr.,Evening,5.0,0.0,0.0,0.0,3.0
4/30/2022,Cold coffee,Beverages,40,14,708,Online,Mrs.,Night,0.0,1.0,1.0,1.0,1.0
9/27/2022,Panipuri,Fastfood,60,10,427,Online,Mr.,Evening,2.0,0.0,1.0,0.0,3.0
2/19/2023,Sandwich,Beverages,60,10,407,Online,Mrs.,Midnight,6.0,1.0,1.0,1.0,0.0
7/27/2022,Panipuri,Fastfood,40,1,69,Cash,Mrs.,Afternoon,2.0,0.0,0.0,1.0,2.0
10/20/2022,Cold coffee,Beverages,40,7,530,Cash,Mrs.,Midnight,0.0,1.0,0.0,1.0,0.0
09-07-2022,Sugarcane juice,Fastfood,50,5,122,Online,Mrs.,Midnight,1.0,0.0,1.0,1.0,0.0
2/14/2023,Aalopuri,Beverages,20,1,30,Cash,Mrs.,Night,3.0,1.0,0.0,1.0,1.0
8/25/2022,Vadapav,Beverages,25,3,159,Online,Mr.,Evening,5.0,1.0,1.0,0.0,3.0
03-11-2023,Frankie,Fastfood,20,8,144,Online,Mr.,Afternoon,4.0,0.0,1.0,0.0,2.0
2/13/2023,Vadapav,Fastfood,25,10,310,Online,Mr.,Night,5.0,0.0,1.0,0.0,1.0
7/20/2022,Sugarcane juice,Fastfood,50,15,736,Online,Mrs.,Morning,1.0,0.0,1.0,1.0,4.0
5/15/2022,Frankie,Beverages,50,9,142,Cash,Mrs.,Afternoon,4.0,1.0,0.0,1.0,2.0
06-10-2022,Cold coffee,Fastfood,40,5,396,Online,Mr.,Night,0.0,0.0,1.0,0.0,1.0
9/29/2022,Sandwich,Fastfood,60,13,656,Online,Mr.,Night,6.0,0.0,1.0,0.0,1.0
4/30/2022,Frankie,Fastfood,50,13,650,Online,Mr.,Morning,4.0,0.0,1.0,0.0,4.0
12-08-2022,Frankie,Fastfood,25,4,161,Cash,Mrs.,Afternoon,4.0,0.0,0.0,1.0,2.0
11-01-2022,Frankie,Fastfood,25,7,148,Cash,Mr.,Evening,4.0,0.0,0.0,0.0,3.0
05-04-2022,Sugarcane juice,Beverages,25,5,154,Cash,Mrs.,Morning,1.0,1.0,0.0,1.0,4.0
01-05-2023,Aalopuri,Fastfood,20,12,96,Cash,Mrs.,Evening,3.0,0.0,0.0,1.0,3.0
8/27/2022,Panipuri,Fastfood,25,5,60,Cash,Mrs.,Evening,2.0,0.0,0.0,1.0,3.0
10/17/2022,Frankie,Fastfood,20,12,436,Online,Mrs.,Afternoon,4.0,0.0,1.0,1.0,2.0
1/16/2023,Frankie,Fastfood,50,12,276,Cash,Mr.,Morning,4.0,0.0,0.0,0.0,4.0
09-01-2022,Sugarcane juice,Fastfood,60,4,70,Cash,Mr.,Evening,1.0,0.0,0.0,0.0,3.0
05-06-2022,Sugarcane juice,Beverages,25,12,300,Cash,Mr.,Morning,1.0,1.0,0.0,0.0,4.0
9/18/2022,Cold coffee,Beverages,40,8,205,Cash,Mrs.,Midnight,0.0,1.0,0.0,1.0,0.0
10-09-2022,Sugarcane juice,Beverages,25,3,57,Cash,Mr.,Midnight,1.0,1.0,0.0,0.0,0.0
02-03-2023,Aalopuri,Fastfood,20,7,156,Cash,Mrs.,Afternoon,3.0,0.0,0.0,1.0,2.0
07-04-2022,Cold coffee,Beverages,40,11,694,Cash,Mr.,Afternoon,0.0,1.0,0.0,0.0,2.0
11/18/2022,Aalopuri,Fastfood,20,14,525,Online,Mrs.,Evening,3.0,0.0,1.0,1.0,3.0
9/21/2022,Sandwich,Fastfood,50,4,258,Online,Mrs.,Evening,6.0,0.0,1.0,1.0,3.0
10-02-2022,Frankie,Fastfood,40,13,402,Cash,Mr.,Afternoon,4.0,0.0,0.0,0.0,2.0
7/19/2022,Sugarcane juice,Beverages,25,14,350,Online,Mrs.,Evening,1.0,1.0,1.0,1.0,3.0
12-03-2022,Vadapav,Fastfood,20,15,596,Cash,Mr.,Afternoon,5.0,0.0,0.0,0.0,2.0
09-10-2022,Cold coffee,Fastfood,50,4,322,Online,Mrs.,Morning,0.0,0.0,1.0,1.0,4.0
03-09-2023,Vadapav,Fastfood,20,14,599,Cash,Mr.,Evening,5.0,0.0,0.0,0.0,3.0
8/21/2022,Aalopuri,Fastfood,20,3,84,Cash,Mrs.,Afternoon,3.0,0.0,0.0,1.0,2.0
04-10-2022,Aalopuri,Fastfood,20,15,300,Cash,Mrs.,Evening,3.0,0.0,0.0,1.0,3.0
04-04-2022,Frankie,Fastfood,20,3,58,Online,Mrs.,Midnight,4.0,0.0,1.0,1.0,0.0
12-05-2022,Vadapav,Fastfood,20,8,160,Online,Mr.,Evening,5.0,0.0,1.0,0.0,3.0
9/19/2022,Sugarcane juice,Beverages,25,14,450,Online,Mrs.,Evening,1.0,1.0,1.0,1.0,3.0
12/29/2022,Vadapav,Beverages,20,10,187,Online,Mrs.,Morning,5.0,1.0,1.0,1.0,4.0
8/28/2022,Vadapav,Fastfood,20,12,367,Online,Mr.,Midnight,5.0,0.0,1.0,0.0,0.0
9/29/2022,Panipuri,Fastfood,25,1,35,Cash,Mrs.,Morning,2.0,0.0,0.0,1.0,4.0
5/25/2022,Frankie,Beverages,40,14,475,Online,Mrs.,Midnight,4.0,1.0,1.0,1.0,0.0
10/16/2022,Sugarcane juice,Beverages,25,4,100,Cash,Mr.,Evening,1.0,1.0,0.0,0.0,3.0
01-05-2023,Frankie,Fastfood,50,15,750,Cash,Mr.,Morning,4.0,0.0,0.0,0.0,4.0
9/27/2022,Aalopuri,Beverages,25,12,507,Cash,Mrs.,Morning,3.0,1.0,0.0,1.0,4.0
12/17/2022,Panipuri,Beverages,25,2,61,Online,Mr.,Afternoon,2.0,1.0,1.0,0.0,2.0
4/30/2022,Frankie,Fastfood,20,6,157,Cash,Mr.,Afternoon,4.0,0.0,0.0,0.0,2.0
10-02-2022,Vadapav,Fastfood,20,12,240,Cash,Mr.,Evening,5.0,0.0,0.0,0.0,3.0
05-11-2022,Sugarcane juice,Fastfood,50,12,461,Online,Mr.,Afternoon,1.0,0.0,1.0,0.0,2.0
6/26/2022,Sugarcane juice,Fastfood,50,6,327,Cash,Mr.,Afternoon,1.0,0.0,0.0,0.0,2.0
12/26/2022,Cold coffee,Beverages,40,2,78,Online,Mrs.,Night,0.0,1.0,1.0,1.0,1.0
5/22/2022,Cold coffee,Beverages,40,11,551,Cash,Mr.,Midnight,0.0,1.0,0.0,0.0,0.0
8/27/2022,Panipuri,Fastfood,50,13,419,Online,Mrs.,Night,2.0,0.0,1.0,1.0,1.0
03-10-2023,Vadapav,Fastfood,20,11,442,Online,Mrs.,Afternoon,5.0,0.0,1.0,1.0,2.0
5/13/2022,Cold coffee,Beverages,25,13,347,Cash,Mr.,Midnight,0.0,1.0,0.0,0.0,0.0
01-10-2023,Sugarcane juice,Beverages,40,14,447,Online,Mrs.,Evening,1.0,1.0,1.0,1.0,3.0
6/20/2022,Frankie,Fastfood,40,12,615,Online,Mrs.,Night,4.0,0.0,1.0,1.0,1.0
2/13/2023,Sandwich,Fastfood,60,12,281,Online,Mr.,Evening,6.0,0.0,1.0,0.0,3.0
3/27/2023,Sugarcane juice,Beverages,20,2,76,Online,Mr.,Evening,1.0,1.0,1.0,0.0,3.0
04-07-2022,Frankie,Fastfood,20,10,577,Cash,Mr.,Morning,4.0,0.0,0.0,0.0,4.0
1/16/2023,Sandwich,Beverages,20,2,90,Cash,Mr.,Night,6.0,1.0,0.0,0.0,1.0
09-05-2022,Sandwich,Fastfood,60,13,686,Cash,Mr.,Night,6.0,0.0,0.0,0.0,1.0
11/30/2022,Panipuri,Fastfood,20,3,131,Online,Mrs.,Morning,2.0,0.0,1.0,1.0,4.0
05-09-2022,Sugarcane juice,Fastfood,20,11,383,Cash,Mrs.,Afternoon,1.0,0.0,0.0,1.0,2.0
01-03-2023,Vadapav,Fastfood,20,13,364,Cash,Mrs.,Morning,5.0,0.0,0.0,1.0,4.0
2/22/2023,Aalopuri,Fastfood,20,5,85,Online,Mrs.,Afternoon,3.0,0.0,1.0,1.0,2.0
9/18/2022,Panipuri,Beverages,20,1,26,Online,Mrs.,Midnight,2.0,1.0,1.0,1.0,0.0
9/21/2022,Cold coffee,Beverages,20,4,108,Online,Mr.,Night,0.0,1.0,1.0,0.0,1.0
6/29/2022,Panipuri,Fastfood,20,15,748,Online,Mrs.,Night,2.0,0.0,1.0,1.0,1.0
2/28/2023,Frankie,Fastfood,50,4,267,Online,Mr.,Midnight,4.0,0.0,1.0,0.0,0.0
4/30/2022,Sandwich,Beverages,60,3,108,Cash,Mr.,Evening,6.0,1.0,0.0,0.0,3.0
9/30/2022,Panipuri,Beverages,25,3,64,Online,Mr.,Morning,2.0,1.0,1.0,0.0,4.0
9/20/2022,Sugarcane juice,Beverages,20,13,174,Cash,Mr.,Evening,1.0,1.0,0.0,0.0,3.0
10-01-2022,Panipuri,Fastfood,25,13,670,Online,Mr.,Night,2.0,0.0,1.0,0.0,1.0
09-01-2022,Cold coffee,Fastfood,40,13,768,Cash,Mrs.,Evening,0.0,0.0,0.0,1.0,3.0
12-10-2022,Sandwich,Beverages,50,15,474,Online,Mr.,Night,6.0,1.0,1.0,0.0,1.0
04-07-2022,Sugarcane juice,Fastfood,20,8,242,Online,Mrs.,Midnight,1.0,0.0,1.0,1.0,0.0
08-06-2022,Sandwich,Beverages,60,10,579,Online,Mrs.,Night,6.0,1.0,1.0,1.0,1.0
11-08-2022,Panipuri,Fastfood,25,10,508,Cash,Mrs.,Evening,2.0,0.0,0.0,1.0,3.0
8/28/2022,Cold coffee,Fastfood,40,8,279,Online,Mr.,Midnight,0.0,0.0,1.0,0.0,0.0
1/15/2023,Vadapav,Fastfood,25,14,471,Cash,Mr.,Afternoon,5.0,0.0,0.0,0.0,2.0
11/17/2022,Sandwich,Beverages,50,6,101,Cash,Mrs.,Night,6.0,1.0,0.0,1.0,1.0
12-01-2022,Sugarcane juice,Fastfood,20,10,236,Cash,Mrs.,Afternoon,1.0,0.0,0.0,1.0,2.0
01-06-2023,Aalopuri,Fastfood,20,9,123,Cash,Mr.,Afternoon,3.0,0.0,0.0,0.0,2.0
11-10-2022,Frankie,Fastfood,50,9,450,Cash,Mr.,Night,4.0,0.0,0.0,0.0,1.0
03-04-2023,Sandwich,Beverages,40,15,375,Online,Mr.,Night,6.0,1.0,1.0,0.0,1.0
03-06-2023,Sandwich,Fastfood,60,11,336,Cash,Mr.,Midnight,6.0,0.0,0.0,0.0,0.0
2/22/2023,Sandwich,Fastfood,20,6,163,Cash,Mr.,Morning,6.0,0.0,0.0,0.0,4.0
05-05-2022,Aalopuri,Beverages,20,14,295,Cash,Mr.,Night,3.0,1.0,0.0,0.0,1.0
8/18/2022,Aalopuri,Fastfood,20,4,67,Online,Mr.,Night,3.0,0.0,1.0,0.0,1.0
11/22/2022,Sandwich,Beverages,60,4,225,Cash,Mrs.,Evening,6.0,1.0,0.0,1.0,3.0
09-05-2022,Sugarcane juice,Fastfood,20,5,68,Online,Mrs.,Evening,1.0,0.0,1.0,1.0,3.0
10/21/2022,Aalopuri,Fastfood,20,3,40,Online,Mr.,Midnight,3.0,0.0,1.0,0.0,0.0
8/24/2022,Cold coffee,Fastfood,40,4,541,Cash,Mr.,Afternoon,0.0,0.0,0.0,0.0,2.0
07-10-2022,Sugarcane juice,Beverages,20,2,29,Cash,Mrs.,Night,1.0,1.0,0.0,1.0,1.0
1/16/2023,Aalopuri,Fastfood,20,4,54,Online,Mr.,Morning,3.0,0.0,1.0,0.0,4.0
5/29/2022,Sandwich,Beverages,40,4,374,Online,Mrs.,Night,6.0,1.0,1.0,1.0,1.0
04-05-2022,Vadapav,Beverages,20,6,71,Cash,Mr.,Morning,5.0,1.0,0.0,0.0,4.0
7/30/2022,Vadapav,Beverages,20,6,196,Cash,Mrs.,Night,5.0,1.0,0.0,1.0,1.0
12/23/2022,Cold coffee,Beverages,40,10,530,Cash,Mrs.,Night,0.0,1.0,0.0,1.0,1.0
4/20/2022,Sugarcane juice,Fastfood,20,7,140,Online,Mrs.,Morning,1.0,0.0,1.0,1.0,4.0
9/24/2022,Panipuri,Fastfood,20,2,108,Cash,Mr.,Midnight,2.0,0.0,0.0,0.0,0.0
1/18/2023,Cold coffee,Beverages,40,12,392,Online,Mrs.,Morning,0.0,1.0,1.0,1.0,4.0
09-06-2022,Vadapav,Fastfood,20,14,280,Cash,Mr.,Midnight,5.0,0.0,0.0,0.0,0.0
11-06-2022,Cold coffee,Fastfood,50,7,635,Cash,Mr.,Night,0.0,0.0,0.0,0.0,1.0
12-01-2022,Sugarcane juice,Fastfood,20,1,43,Online,Mr.,Afternoon,1.0,0.0,1.0,0.0,2.0
9/21/2022,Sugarcane juice,Beverages,60,8,368,Cash,Mrs.,Night,1.0,1.0,0.0,1.0,1.0
3/17/2023,Sandwich,Beverages,40,2,165,Online,Mr.,Night,6.0,1.0,1.0,0.0,1.0
12/30/2022,Cold coffee,Beverages,40,14,429,Cash,Mr.,Evening,0.0,1.0,0.0,0.0,3.0
7/27/2022,Cold coffee,Fastfood,50,12,746,Cash,Mr.,Night,0.0,0.0,0.0,0.0,1.0
03-11-2023,Vadapav,Fastfood,20,15,627,Cash,Mr.,Evening,5.0,0.0,0.0,0.0,3.0
8/15/2022,Cold coffee,Fastfood,60,13,491,Online,Mr.,Midnight,0.0,0.0,1.0,0.0,0.0
8/31/2022,Sandwich,Fastfood,20,13,641,Cash,Mr.,Night,6.0,0.0,0.0,0.0,1.0
7/23/2022,Sandwich,Fastfood,25,11,501,Cash,Mrs.,Midnight,6.0,0.0,0.0,1.0,0.0
08-03-2022,Aalopuri,Beverages,20,1,26,Online,Mrs.,Afternoon,3.0,1.0,1.0,1.0,2.0
01-03-2023,Panipuri,Fastfood,20,14,235,Cash,Mrs.,Afternoon,2.0,0.0,0.0,1.0,2.0
2/25/2023,Frankie,Fastfood,20,13,313,Cash,Mr.,Evening,4.0,0.0,0.0,0.0,3.0
10/19/2022,Sandwich,Fastfood,60,12,249,Cash,Mr.,Night,6.0,0.0,0.0,0.0,1.0
5/27/2022,Sandwich,Beverages,25,7,246,Online,Mr.,Afternoon,6.0,1.0,1.0,0.0,2.0
1/31/2023,Cold coffee,Beverages,40,7,455,Cash,Mr.,Afternoon,0.0,1.0,0.0,0.0,2.0
10/22/2022,Aalopuri,Fastfood,20,3,30,Cash,Mr.,Morning,3.0,0.0,0.0,0.0,4.0
12/28/2022,Sugarcane juice,Fastfood,20,3,124,Online,Mr.,Afternoon,1.0,0.0,1.0,0.0,2.0
08-09-2022,Frankie,Fastfood,60,5,446,Cash,Mr.,Evening,4.0,0.0,0.0,0.0,3.0
8/27/2022,Sandwich,Beverages,25,13,424,Cash,Mr.,Evening,6.0,1.0,0.0,0.0,3.0
5/26/2022,Panipuri,Fastfood,60,12,546,Online,Mrs.,Afternoon,2.0,0.0,1.0,1.0,2.0
03-02-2023,Aalopuri,Fastfood,20,2,40,Cash,Mr.,Night,3.0,0.0,0.0,0.0,1.0
01-05-2023,Aalopuri,Fastfood,20,12,465,Online,Mrs.,Morning,3.0,0.0,1.0,1.0,4.0
10-12-2022,Vadapav,Fastfood,20,14,353,Online,Mr.,Morning,5.0,0.0,1.0,0.0,4.0
10-05-2022,Sandwich,Fastfood,25,5,138,Online,Mr.,Midnight,6.0,0.0,1.0,0.0,0.0
12-05-2022,Cold coffee,Beverages,60,5,118,Cash,Mrs.,Midnight,0.0,1.0,0.0,1.0,0.0
7/30/2022,Sandwich,Beverages,40,6,244,Online,Mr.,Evening,6.0,1.0,1.0,0.0,3.0
8/15/2022,Aalopuri,Fastfood,20,12,619,Cash,Mr.,Afternoon,3.0,0.0,0.0,0.0,2.0
08-12-2022,Sugarcane juice,Beverages,20,11,193,Cash,Mrs.,Midnight,1.0,1.0,0.0,1.0,0.0
3/19/2023,Panipuri,Fastfood,20,4,146,Online,Mr.,Morning,2.0,0.0,1.0,0.0,4.0
02-03-2023,Frankie,Fastfood,25,2,342,Online,Mr.,Night,4.0,0.0,1.0,0.0,1.0
10/15/2022,Frankie,Fastfood,50,15,792,Online,Mrs.,Afternoon,4.0,0.0,1.0,1.0,2.0
12/17/2022,Vadapav,Fastfood,20,14,291,Online,Mrs.,Afternoon,5.0,0.0,1.0,1.0,2.0
05-07-2022,Frankie,Beverages,40,10,428,Cash,Mrs.,Evening,4.0,1.0,0.0,1.0,3.0
2/20/2023,Sugarcane juice,Fastfood,20,5,90,Cash,Mrs.,Midnight,1.0,0.0,0.0,1.0,0.0
11-05-2022,Vadapav,Fastfood,20,2,79,Online,Mrs.,Evening,5.0,0.0,1.0,1.0,3.0
03-09-2023,Aalopuri,Fastfood,20,13,170,Cash,Mr.,Midnight,3.0,0.0,0.0,0.0,0.0
02-03-2023,Frankie,Fastfood,20,8,255,Online,Mr.,Morning,4.0,0.0,1.0,0.0,4.0
9/16/2022,Cold coffee,Fastfood,40,10,517,Online,Mr.,Night,0.0,0.0,1.0,0.0,1.0
7/16/2022,Aalopuri,Fastfood,20,2,28,Cash,Mr.,Morning,3.0,0.0,0.0,0.0,4.0
02-01-2023,Frankie,Fastfood,20,9,309,Cash,Mr.,Evening,4.0,0.0,0.0,0.0,3.0
09-05-2022,Sandwich,Beverages,50,5,61,Cash,Mrs.,Midnight,6.0,1.0,0.0,1.0,0.0
06-07-2022,Vadapav,Beverages,20,4,175,Cash,Mr.,Morning,5.0,1.0,0.0,0.0,4.0
05-06-2022,Sugarcane juice,Fastfood,20,6,209,Online,Mr.,Night,1.0,0.0,1.0,0.0,1.0
10-12-2022,Aalopuri,Fastfood,20,3,69,Cash,Mr.,Morning,3.0,0.0,0.0,0.0,4.0
04-08-2022,Frankie,Fastfood,60,8,201,Cash,Mrs.,Evening,4.0,0.0,0.0,1.0,3.0
3/19/2023,Sandwich,Fastfood,50,15,726,Cash,Mr.,Morning,6.0,0.0,0.0,0.0,4.0
10-05-2022,Vadapav,Fastfood,20,7,295,Online,Mrs.,Evening,5.0,0.0,1.0,1.0,3.0
03-02-2023,Aalopuri,Fastfood,20,7,191,Cash,Mrs.,Afternoon,3.0,0.0,0.0,1.0,2.0
11/29/2022,Sandwich,Fastfood,60,7,659,Online,Mrs.,Afternoon,6.0,0.0,1.0,1.0,2.0
12-02-2022,Aalopuri,Fastfood,20,15,431,Cash,Mr.,Midnight,3.0,0.0,0.0,0.0,0.0
12/27/2022,Cold coffee,Fastfood,40,1,27,Cash,Mr.,Midnight,0.0,0.0,0.0,0.0,0.0
11-01-2022,Sugarcane juice,Fastfood,50,12,343,Online,Mrs.,Afternoon,1.0,0.0,1.0,1.0,2.0
8/22/2022,Panipuri,Fastfood,60,9,433,Cash,Mr.,Evening,2.0,0.0,0.0,0.0,3.0
8/21/2022,Sugarcane juice,Beverages,60,3,75,Online,Mr.,Midnight,1.0,1.0,1.0,0.0,0.0
6/28/2022,Cold coffee,Beverages,40,3,246,Online,Mrs.,Afternoon,0.0,1.0,1.0,1.0,2.0
8/22/2022,Panipuri,Beverages,40,13,475,Cash,Mrs.,Afternoon,2.0,1.0,0.0,1.0,2.0
8/22/2022,Aalopuri,Beverages,50,13,215,Online,Mr.,Night,3.0,1.0,1.0,0.0,1.0
05-03-2022,Vadapav,Fastfood,20,12,230,Online,Mr.,Evening,5.0,0.0,1.0,0.0,3.0
1/18/2023,Sugarcane juice,Beverages,25,5,125,Cash,Mr.,Afternoon,1.0,1.0,0.0,0.0,2.0
04-04-2022,Panipuri,Beverages,20,5,76,Online,Mr.,Midnight,2.0,1.0,1.0,0.0,0.0
08-05-2022,Panipuri,Beverages,20,12,401,Cash,Mrs.,Morning,2.0,1.0,0.0,1.0,4.0
08-09-2022,Sandwich,Fastfood,20,3,57,Cash,Mr.,Midnight,6.0,0.0,0.0,0.0,0.0
01-11-2023,Sandwich,Beverages,40,8,189,Online,Mr.,Evening,6.0,1.0,1.0,0.0,3.0
9/27/2022,Cold coffee,Beverages,40,13,463,Cash,Mrs.,Midnight,0.0,1.0,0.0,1.0,0.0
5/22/2022,Cold coffee,Beverages,40,5,122,Cash,Mr.,Afternoon,0.0,1.0,0.0,0.0,2.0
2/22/2023,Panipuri,Beverages,25,14,769,Cash,Mrs.,Morning,2.0,1.0,0.0,1.0,4.0
10/30/2022,Cold coffee,Fastfood,40,2,90,Online,Mrs.,Night,0.0,0.0,1.0,1.0,1.0
7/15/2022,Sandwich,Fastfood,40,15,575,Online,Mrs.,Afternoon,6.0,0.0,1.0,1.0,2.0
9/14/2022,Frankie,Fastfood,60,3,164,Online,Mr.,Night,4.0,0.0,1.0,0.0,1.0
9/14/2022,Vadapav,Fastfood,20,15,483,Cash,Mr.,Evening,5.0,0.0,0.0,0.0,3.0
11/29/2022,Cold coffee,Fastfood,50,12,324,Cash,Mrs.,Midnight,0.0,0.0,0.0,1.0,0.0
10-04-2022,Cold coffee,Beverages,40,11,581,Cash,Mrs.,Morning,0.0,1.0,0.0,1.0,4.0
7/19/2022,Sugarcane juice,Fastfood,20,2,29,Cash,Mr.,Midnight,1.0,0.0,0.0,0.0,0.0
5/14/2022,Panipuri,Beverages,20,12,494,Cash,Mr.,Evening,2.0,1.0,0.0,0.0,3.0
9/30/2022,Cold coffee,Fastfood,40,3,363,Online,Mrs.,Morning,0.0,0.0,1.0,1.0,4.0
10-02-2022,Aalopuri,Fastfood,20,5,157,Cash,Mrs.,Afternoon,3.0,0.0,0.0,1.0,2.0
12/26/2022,Panipuri,Beverages,20,9,202,Cash,Mrs.,Midnight,2.0,1.0,0.0,1.0,0.0
07-03-2022,Cold coffee,Fastfood,40,9,230,Cash,Mrs.,Midnight,0.0,0.0,0.0,1.0,0.0
12/28/2022,Frankie,Fastfood,20,10,211,Cash,Mrs.,Afternoon,4.0,0.0,0.0,1.0,2.0
05-07-2022,Vadapav,Beverages,50,14,412,Online,Mrs.,Morning,5.0,1.0,1.0,1.0,4.0
10/26/2022,Cold coffee,Fastfood,40,3,45,Online,Mr.,Evening,0.0,0.0,1.0,0.0,3.0
