date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,received_by,time_of_sale
8/26/2022,Sugarcane juice,Beverages,25,13,325,Cash,Mr.,Evening
03-09-2023,Frankie,Fastfood,50,7,350,Online,Mrs.,Evening
07-06-2022,Sandwich,Fastfood,60,1,60,Online,Mr.,Midnight
05-12-2022,Panipuri,Fastfood,20,10,200,Cash,Mr.,Evening
07-10-2022,Frankie,Fastfood,50,2,100,Cash,Mrs.,Evening
8/26/2022,Cold coffee,Beverages,40,8,320,Cash,Mr.,Afternoon
06-09-2022,Cold coffee,Beverages,40,6,240,Online,Mr.,Evening
04-10-2022,Vadapav,Fastfood,20,7,140,Cash,Mrs.,Midnight
04-08-2022,Panipuri,Fastfood,20,11,220,Online,Mrs.,Night
08-07-2022,Vadapav,Fastfood,20,11,220,Online,Mr.,Midnight
10/19/2022,Panipuri,Fastfood,20,13,260,Cash,Mrs.,Morning
12/28/2022,Sugarcane juice,Beverages,25,7,175,Cash,Mr.,Night
1/19/2023,Sandwich,Fastfood,60,8,480,Cash,Mr.,Night
12-05-2022,Vadapav,Fastfood,20,4,80,Online,Mrs.,Night
12/20/2022,Aalopuri,Fastfood,20,5,100,Online,Mr.,Midnight
7/17/2022,Aalopuri,Fastfood,20,12,240,Online,Mrs.,Night
1/14/2023,Aalopuri,Fastfood,20,8,160,Online,Mr.,Midnight
8/24/2022,Aalopuri,Fastfood,20,15,300,Online,Mr.,Morning
2/26/2023,Frankie,Fastfood,50,11,550,Online,Mrs.,Night
06-12-2022,Frankie,Fastfood,50,13,650,Cash,Mr.,Night
12/30/2022,Sugarcane juice,Beverages,25,12,300,Cash,Mrs.,Morning
11/17/2022,Panipuri,Fastfood,20,10,200,Cash,Mrs.,Evening
5/17/2022,Panipuri,Fastfood,20,7,140,Online,Mr.,Evening
3/19/2023,Sandwich,Fastfood,60,13,780,Online,Mr.,Evening
08-09-2022,Sandwich,Fastfood,60,7,420,Online,Mr.,Morning
1/30/2023,Cold coffee,Beverages,40,14,560,Cash,Mr.,Afternoon
07-10-2022,Frankie,Fastfood,50,13,650,Online,Mrs.,Morning
10/24/2022,Cold coffee,Beverages,40,9,360,Online,Mr.,Afternoon
7/21/2022,Panipuri,Fastfood,20,1,20,Cash,Mrs.,Evening
12/13/2022,Vadapav,Fastfood,20,3,60,Cash,Mr.,Night
02-07-2023,Sugarcane juice,Beverages,25,10,250,Cash,Mrs.,Evening
3/25/2023,Panipuri,Fastfood,20,14,280,Cash,Mr.,Midnight
2/24/2023,Frankie,Fastfood,50,7,350,Online,Mrs.,Midnight
10-03-2022,Sugarcane juice,Beverages,25,1,25,Online,Mrs.,Afternoon
7/23/2022,Vadapav,Fastfood,20,10,200,Online,Mr.,Night
1/19/2023,Sugarcane juice,Beverages,25,12,300,Cash,Mr.,Evening
05-07-2022,Aalopuri,Fastfood,20,11,220,Cash,Mr.,Midnight
01-06-2023,Frankie,Fastfood,50,6,300,Online,Mrs.,Midnight
08-10-2022,Sugarcane juice,Beverages,25,7,175,Online,Mr.,Afternoon
01-05-2023,Sandwich,Fastfood,60,11,660,Cash,Mr.,Midnight
06-01-2022,Panipuri,Fastfood,20,6,120,Cash,Mrs.,Evening
2/23/2023,Cold coffee,Beverages,40,6,240,Cash,Mrs.,Morning
4/19/2022,Sandwich,Fastfood,60,4,240,Cash,Mrs.,Midnight
6/20/2022,Vadapav,Fastfood,20,6,120,Cash,Mr.,Morning
03-02-2023,Vadapav,Fastfood,20,11,220,Cash,Mrs.,Midnight
8/27/2022,Sugarcane juice,Beverages,25,6,150,Online,Mrs.,Night
1/20/2023,Cold coffee,Beverages,40,2,80,Online,Mr.,Night
09-03-2022,Aalopuri,Fastfood,20,2,40,Online,Mr.,Evening
10/17/2022,Frankie,Fastfood,50,12,600,Cash,Mrs.,Afternoon
08-04-2022,Panipuri,Fastfood,20,1,20,Cash,Mrs.,Midnight
7/21/2022,Panipuri,Fastfood,20,11,220,Online,Mrs.,Morning
12-09-2022,Aalopuri,Fastfood,20,2,40,Cash,Mrs.,Morning
12-01-2022,Vadapav,Fastfood,20,6,120,Online,Mrs.,Afternoon
06-09-2022,Cold coffee,Beverages,40,7,280,Cash,Mrs.,Night
07-02-2022,Cold coffee,Beverages,40,1,40,Cash,Mr.,Midnight
07-10-2022,Sugarcane juice,Beverages,25,5,125,Cash,Mrs.,Midnight
01-03-2023,Cold coffee,Beverages,40,8,320,Cash,Mr.,Night
3/15/2023,Frankie,Fastfood,50,2,100,Online,Mr.,Afternoon
10-11-2022,Aalopuri,Fastfood,20,15,300,Cash,Mrs.,Morning
12/28/2022,Panipuri,Fastfood,20,14,280,Cash,Mrs.,Night
02-08-2023,Vadapav,Fastfood,20,12,240,Online,Mr.,Afternoon
4/26/2022,Cold coffee,Beverages,40,1,40,Online,Mr.,Evening
5/20/2022,Sugarcane juice,Beverages,25,14,350,Cash,Mrs.,Morning
10/26/2022,Vadapav,Fastfood,20,2,40,Online,Mr.,Night
02-05-2023,Cold coffee,Beverages,40,15,600,Online,Mrs.,Midnight
12/15/2022,Vadapav,Fastfood,20,4,80,Cash,Mrs.,Morning
4/23/2022,Sandwich,Fastfood,60,4,240,Cash,Mrs.,Night
6/25/2022,Sandwich,Fastfood,60,3,180,Cash,Mr.,Evening
11-08-2022,Panipuri,Fastfood,20,10,200,Cash,Mrs.,Midnight
01-05-2023,Frankie,Fastfood,50,15,750,Cash,Mr.,Morning
02-01-2023,Frankie,Fastfood,50,6,300,Online,Mrs.,Morning
12/25/2022,Cold coffee,Beverages,40,10,400,Cash,Mrs.,Morning
6/30/2022,Panipuri,Fastfood,20,8,160,Cash,Mr.,Morning
9/21/2022,Aalopuri,Fastfood,20,9,180,Cash,Mr.,Afternoon
04-11-2022,Vadapav,Fastfood,20,6,120,Online,Mrs.,Midnight
10/24/2022,Cold coffee,Beverages,40,7,280,Cash,Mrs.,Evening
7/27/2022,Aalopuri,Fastfood,20,4,80,Cash,Mr.,Night
2/20/2023,Cold coffee,Beverages,40,8,320,Online,Mrs.,Evening
8/26/2022,Cold coffee,Beverages,40,13,520,Cash,Mrs.,Midnight
12-04-2022,Aalopuri,Fastfood,20,2,40,Cash,Mr.,Night
4/18/2022,Aalopuri,Fastfood,20,12,240,Cash,Mr.,Morning
05-05-2022,Cold coffee,Beverages,40,12,480,Online,Mrs.,Morning
12-03-2022,Sugarcane juice,Beverages,25,14,350,Online,Mr.,Evening
03-07-2023,Panipuri,Fastfood,20,9,180,Cash,Mrs.,Afternoon
3/23/2023,Cold coffee,Beverages,40,10,400,Cash,Mr.,Morning
12/23/2022,Cold coffee,Beverages,40,13,520,Online,Mrs.,Midnight
10-01-2022,Aalopuri,Fastfood,20,9,180,Cash,Mrs.,Evening
5/13/2022,Sugarcane juice,Beverages,25,1,25,Cash,Mr.,Afternoon
3/26/2023,Sandwich,Fastfood,60,1,60,Online,Mr.,Evening
09-11-2022,Sandwich,Fastfood,60,6,360,Cash,Mrs.,Morning
9/21/2022,Panipuri,Fastfood,20,13,260,Online,Mr.,Night
3/23/2023,Sugarcane juice,Beverages,25,14,350,Cash,Mr.,Afternoon
3/16/2023,Frankie,Fastfood,50,11,550,Cash,Mrs.,Evening
12-12-2022,Aalopuri,Fastfood,20,13,260,Online,Mrs.,Afternoon
11/17/2022,Cold coffee,Beverages,40,5,200,Cash,Mrs.,Afternoon
11-05-2022,Panipuri,Fastfood,20,8,160,Online,Mr.,Night
4/16/2022,Frankie,Fastfood,50,6,300,Online,Mr.,Afternoon
4/23/2022,Vadapav,Fastfood,20,13,260,Cash,Mrs.,Night
7/31/2022,Panipuri,Fastfood,20,5,100,Cash,Mr.,Morning
7/27/2022,Panipuri,Fastfood,20,10,200,Cash,Mr.,Midnight
11/29/2022,Sandwich,Fastfood,60,10,600,Cash,Mrs.,Afternoon
11-08-2022,Panipuri,Fastfood,20,13,260,Cash,Mrs.,Midnight
4/26/2022,Vadapav,Fastfood,20,13,260,Cash,Mr.,Morning
12-04-2022,Frankie,Fastfood,50,4,200,Online,Mr.,Evening
12-11-2022,Sandwich,Fastfood,60,10,600,Cash,Mrs.,Morning
06-06-2022,Sugarcane juice,Beverages,25,2,50,Cash,Mr.,Afternoon
12/23/2022,Cold coffee,Beverages,40,4,160,Online,Mrs.,Midnight
11-12-2022,Panipuri,Fastfood,20,5,100,Cash,Mrs.,Midnight
11/22/2022,Sandwich,Fastfood,60,10,600,Online,Mrs.,Midnight
10-03-2022,Vadapav,Fastfood,20,2,40,Cash,Mrs.,Morning
11/16/2022,Vadapav,Fastfood,20,10,200,Cash,Mr.,Afternoon
4/17/2022,Frankie,Fastfood,50,5,250,Online,Mrs.,Midnight
10/26/2022,Sugarcane juice,Beverages,25,3,75,Online,Mrs.,Afternoon
11/15/2022,Sugarcane juice,Beverages,25,6,150,Online,Mrs.,Midnight
3/26/2023,Vadapav,Fastfood,20,8,160,Online,Mr.,Midnight
6/18/2022,Sugarcane juice,Beverages,25,13,325,Online,Mr.,Afternoon
3/16/2023,Aalopuri,Fastfood,20,3,60,Online,Mrs.,Midnight
01-03-2023,Sandwich,Fastfood,60,10,600,Cash,Mrs.,Midnight
09-06-2022,Vadapav,Fastfood,20,14,280,Cash,Mr.,Midnight
11/18/2022,Sandwich,Fastfood,60,4,240,Online,Mr.,Morning
09-10-2022,Sugarcane juice,Beverages,25,2,50,Online,Mrs.,Night
01-11-2023,Frankie,Fastfood,50,9,450,Cash,Mrs.,Midnight
6/19/2022,Panipuri,Fastfood,20,2,40,Cash,Mr.,Evening
7/18/2022,Sugarcane juice,Beverages,25,12,300,Online,Mr.,Morning
8/15/2022,Vadapav,Fastfood,20,6,120,Cash,Mr.,Midnight
10-02-2022,Frankie,Fastfood,50,10,500,Online,Mrs.,Night
03-05-2023,Vadapav,Fastfood,20,1,20,Cash,Mr.,Morning
02-05-2023,Cold coffee,Beverages,40,12,480,Cash,Mrs.,Midnight
09-07-2022,Sandwich,Fastfood,60,13,780,Cash,Mr.,Evening
05-03-2022,Vadapav,Fastfood,20,13,260,Cash,Mr.,Evening
7/29/2022,Frankie,Fastfood,50,5,250,Online,Mrs.,Night
8/15/2022,Panipuri,Fastfood,20,15,300,Cash,Mr.,Midnight
01-04-2023,Sugarcane juice,Beverages,25,10,250,Online,Mr.,Night
02-04-2023,Vadapav,Fastfood,20,15,300,Online,Mr.,Night
9/30/2022,Sugarcane juice,Beverages,25,6,150,Cash,Mr.,Midnight
12-08-2022,Cold coffee,Beverages,40,13,520,Cash,Mrs.,Midnight
6/19/2022,Frankie,Fastfood,50,6,300,Online,Mrs.,Night
9/14/2022,Vadapav,Fastfood,20,15,300,Cash,Mrs.,Afternoon
10-09-2022,Panipuri,Fastfood,20,14,280,Online,Mrs.,Evening
08-09-2022,Sandwich,Fastfood,60,3,180,Cash,Mrs.,Afternoon
07-02-2022,Panipuri,Fastfood,20,2,40,Cash,Mrs.,Midnight
08-06-2022,Aalopuri,Fastfood,20,3,60,Cash,Mr.,Morning
8/22/2022,Sandwich,Fastfood,60,7,420,Cash,Mr.,Night
11/28/2022,Aalopuri,Fastfood,20,7,140,Online,Mrs.,Midnight
05-03-2022,Panipuri,Fastfood,20,7,140,Cash,Mrs.,Morning
1/27/2023,Frankie,Fastfood,50,8,400,Online,Mrs.,Night
1/16/2023,Frankie,Fastfood,50,2,100,Cash,Mrs.,Midnight
4/21/2022,Panipuri,Fastfood,20,8,160,Online,Mrs.,Morning
9/23/2022,Aalopuri,Fastfood,20,1,20,Cash,Mrs.,Evening
7/21/2022,Sandwich,Fastfood,60,7,420,Cash,Mr.,Midnight
02-06-2023,Panipuri,Fastfood,20,7,140,Cash,Mrs.,Afternoon
4/30/2022,Sandwich,Fastfood,60,10,600,Online,Mr.,Evening
7/19/2022,Sugarcane juice,Beverages,25,9,225,Cash,Mrs.,Afternoon
7/22/2022,Aalopuri,Fastfood,20,1,20,Online,Mrs.,Evening
6/27/2022,Aalopuri,Fastfood,20,8,160,Cash,Mr.,Afternoon
1/28/2023,Panipuri,Fastfood,20,7,140,Cash,Mr.,Night
3/21/2023,Aalopuri,Fastfood,20,14,280,Cash,Mr.,Night
07-02-2022,Sugarcane juice,Beverages,25,1,25,Cash,Mrs.,Midnight
5/28/2022,Vadapav,Fastfood,20,15,300,Online,Mr.,Morning
03-03-2023,Cold coffee,Beverages,40,8,320,Online,Mrs.,Morning
2/13/2023,Vadapav,Fastfood,20,8,160,Cash,Mr.,Evening
12/17/2022,Sandwich,Fastfood,60,13,780,Online,Mr.,Evening
10/14/2022,Sandwich,Fastfood,60,8,480,Online,Mr.,Evening
4/25/2022,Vadapav,Fastfood,20,4,80,Cash,Mr.,Afternoon
12/28/2022,Cold coffee,Beverages,40,1,40,Cash,Mrs.,Night
4/19/2022,Cold coffee,Beverages,40,1,40,Cash,Mr.,Midnight
2/27/2023,Frankie,Fastfood,50,8,400,Online,Mrs.,Morning
2/20/2023,Cold coffee,Beverages,40,13,520,Online,Mrs.,Afternoon
11-02-2022,Frankie,Fastfood,50,4,200,Online,Mr.,Morning
03-10-2023,Aalopuri,Fastfood,20,12,240,Online,Mrs.,Afternoon
12/21/2022,Aalopuri,Fastfood,20,10,200,Online,Mrs.,Midnight
6/30/2022,Frankie,Fastfood,50,15,750,Cash,Mr.,Afternoon
3/18/2023,Sugarcane juice,Beverages,25,7,175,Cash,Mrs.,Afternoon
02-08-2023,Frankie,Fastfood,50,12,600,Cash,Mrs.,Evening
05-05-2022,Cold coffee,Beverages,40,11,440,Cash,Mr.,Morning
12/29/2022,Aalopuri,Fastfood,20,4,80,Cash,Mr.,Morning
7/18/2022,Sugarcane juice,Beverages,25,15,375,Online,Mrs.,Night
05-03-2022,Sandwich,Fastfood,60,8,480,Cash,Mr.,Evening
11/29/2022,Frankie,Fastfood,50,15,750,Cash,Mrs.,Midnight
6/16/2022,Vadapav,Fastfood,20,3,60,Online,Mr.,Evening
01-10-2023,Panipuri,Fastfood,20,7,140,Online,Mrs.,Afternoon
8/21/2022,Panipuri,Fastfood,20,4,80,Online,Mrs.,Evening
10/30/2022,Sugarcane juice,Beverages,25,11,275,Cash,Mrs.,Afternoon
04-04-2022,Cold coffee,Beverages,40,4,160,Cash,Mrs.,Evening
10/24/2022,Cold coffee,Beverages,40,11,440,Cash,Mr.,Night
10/15/2022,Aalopuri,Fastfood,20,14,280,Online,Mrs.,Midnight
05-06-2022,Sugarcane juice,Beverages,25,12,300,Cash,Mr.,Morning
06-02-2022,Cold coffee,Beverages,40,4,160,Cash,Mrs.,Evening
3/19/2023,Frankie,Fastfood,50,9,450,Cash,Mrs.,Evening
03-11-2023,Vadapav,Fastfood,20,7,140,Online,Mr.,Afternoon
1/18/2023,Sugarcane juice,Beverages,25,5,125,Cash,Mr.,Afternoon
5/13/2022,Cold coffee,Beverages,40,14,560,Cash,Mr.,Night
05-09-2022,Panipuri,Fastfood,20,14,280,Online,Mrs.,Night
1/31/2023,Cold coffee,Beverages,40,12,480,Cash,Mr.,Morning
6/24/2022,Frankie,Fastfood,50,7,350,Cash,Mrs.,Afternoon
9/19/2022,Vadapav,Fastfood,20,1,20,Online,Mrs.,Midnight
8/17/2022,Panipuri,Fastfood,20,5,100,Cash,Mrs.,Evening
9/21/2022,Cold coffee,Beverages,40,8,320,Online,Mrs.,Morning
07-08-2022,Frankie,Fastfood,50,5,250,Online,Mrs.,Night
5/25/2022,Frankie,Fastfood,50,11,550,Cash,Mrs.,Night
5/18/2022,Vadapav,Fastfood,20,4,80,Online,Mrs.,Midnight
1/16/2023,Panipuri,Fastfood,20,14,280,Online,Mr.,Midnight
3/15/2023,Cold coffee,Beverages,40,4,160,Online,Mr.,Midnight
5/26/2022,Sugarcane juice,Beverages,25,14,350,Cash,Mrs.,Night
9/21/2022,Sandwich,Fastfood,60,9,540,Online,Mrs.,Afternoon
10/27/2022,Aalopuri,Fastfood,20,6,120,Cash,Mr.,Night
8/27/2022,Aalopuri,Fastfood,20,13,260,Online,Mrs.,Night
10-06-2022,Cold coffee,Beverages,40,2,80,Online,Mrs.,Midnight
12/30/2022,Sugarcane juice,Beverages,25,2,50,Cash,Mr.,Morning
05-09-2022,Frankie,Fastfood,50,9,450,Online,Mr.,Afternoon
10-11-2022,Cold coffee,Beverages,40,2,80,Online,Mr.,Night
07-08-2022,Panipuri,Fastfood,20,10,200,Online,Mr.,Night
11/30/2022,Sugarcane juice,Beverages,25,10,250,Online,Mrs.,Afternoon
8/31/2022,Cold coffee,Beverages,40,2,80,Cash,Mr.,Night
07-03-2022,Sandwich,Fastfood,60,2,120,Online,Mrs.,Evening
10/18/2022,Vadapav,Fastfood,20,5,100,Online,Mrs.,Night
05-08-2022,Sugarcane juice,Beverages,25,12,300,Cash,Mrs.,Midnight
7/24/2022,Frankie,Fastfood,50,10,500,Online,Mr.,Midnight
11/17/2022,Panipuri,Fastfood,20,13,260,Cash,Mr.,Evening
12-04-2022,Frankie,Fastfood,50,15,750,Cash,Mr.,Midnight
5/20/2022,Sugarcane juice,Beverages,25,3,75,Online,Mrs.,Evening
4/24/2022,Vadapav,Fastfood,20,2,40,Cash,Mrs.,Midnight
10/20/2022,Sandwich,Fastfood,60,5,300,Online,Mrs.,Afternoon
2/26/2023,Vadapav,Fastfood,20,1,20,Online,Mr.,Morning
8/16/2022,Cold coffee,Beverages,40,9,360,Cash,Mrs.,Night
05-06-2022,Aalopuri,Fastfood,20,7,140,Online,Mrs.,Morning
10/22/2022,Sugarcane juice,Beverages,25,1,25,Online,Mr.,Afternoon
4/25/2022,Vadapav,Fastfood,20,5,100,Cash,Mr.,Morning
11/23/2022,Frankie,Fastfood,50,5,250,Online,Mr.,Midnight
3/17/2023,Sugarcane juice,Beverages,25,14,350,Cash,Mrs.,Midnight
12/22/2022,Sandwich,Fastfood,60,12,720,Cash,Mrs.,Evening
4/21/2022,Aalopuri,Fastfood,20,1,20,Online,Mrs.,Night
9/18/2022,Aalopuri,Fastfood,20,15,300,Online,Mr.,Night
07-02-2022,Sugarcane juice,Beverages,25,10,250,Online,Mrs.,Evening
04-03-2022,Sandwich,Fastfood,60,1,60,Cash,Mrs.,Morning
1/31/2023,Sandwich,Fastfood,60,3,180,Cash,Mrs.,Evening
10/31/2022,Frankie,Fastfood,50,15,750,Online,Mr.,Morning
07-06-2022,Aalopuri,Fastfood,20,2,40,Online,Mrs.,Afternoon
1/13/2023,Panipuri,Fastfood,20,6,120,Online,Mr.,Evening
6/24/2022,Panipuri,Fastfood,20,9,180,Cash,Mrs.,Evening
03-04-2023,Cold coffee,Beverages,40,15,600,Cash,Mrs.,Morning
10-11-2022,Sugarcane juice,Beverages,25,8,200,Online,Mrs.,Midnight
3/19/2023,Frankie,Fastfood,50,7,350,Cash,Mr.,Night
9/25/2022,Cold coffee,Beverages,40,3,120,Online,Mrs.,Midnight
11/26/2022,Frankie,Fastfood,50,7,350,Cash,Mrs.,Midnight
12/13/2022,Sugarcane juice,Beverages,25,10,250,Cash,Mr.,Night
10/13/2022,Cold coffee,Beverages,40,4,160,Online,Mrs.,Afternoon
01-02-2023,Sugarcane juice,Beverages,25,2,50,Cash,Mr.,Evening
10-05-2022,Vadapav,Fastfood,20,4,80,Online,Mr.,Midnight
9/15/2022,Aalopuri,Fastfood,20,9,180,Cash,Mrs.,Morning
11/23/2022,Aalopuri,Fastfood,20,15,300,Online,Mr.,Afternoon
11/20/2022,Panipuri,Fastfood,20,12,240,Cash,Mr.,Afternoon
04-03-2022,Aalopuri,Fastfood,20,10,200,Online,Mrs.,Midnight
12-05-2022,Vadapav,Fastfood,20,8,160,Online,Mr.,Evening
1/16/2023,Panipuri,Fastfood,20,3,60,Cash,Mr.,Evening
11-12-2022,Cold coffee,Beverages,40,7,280,Online,Mr.,Night
1/30/2023,Frankie,Fastfood,50,13,650,Online,Mrs.,Evening
3/24/2023,Cold coffee,Beverages,40,2,80,Online,Mr.,Midnight
08-02-2022,Cold coffee,Beverages,40,7,280,Online,Mr.,Evening
